,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
0,4683608289.13,17455525,bitcoin,1546287622,65242910178,21000000.0,Bitcoin,-1.39,-3.36,-8.44,1.0,3737.66530526,1,BTC,17455525
1,506521347.089,40794121066,ripple,1546287605,14403024722,100000000000.0,XRP,-1.15,-3.88,-13.9,9.441e-05,0.3530661857,2,XRP,99991738974
2,2390000356.94,104120997,ethereum,1546287624,13926122958,,Ethereum,-2.16,-3.92,-6.32,0.03576456,133.749420319,3,ETH,104120997
3,180955375.905,17541200,bitcoin-cash,1546287614,2694831901,21000000.0,Bitcoin Cash,-3.14,-5.91,-17.47,0.04108027,153.62870849,4,BCH,17541200
4,725637032.01,906245118,eos,1546287614,2310975079,,EOS,-1.5,-3.98,-10.33,0.00068188,2.5500552048,5,EOS,1006245120
5,98818071.8045,19160776295,stellar,1546287607,2169092273,,Stellar,-1.26,-3.8,-14.7,3.027e-05,0.1132048222,6,XLM,104582774327
6,3515917114.14,1858694256,tether,1546287610,1893741278,,Tether,0.29,-0.19,0.18,0.00027244,1.0188557221,7,USDT,2580062243
7,372085997.5,59814577,litecoin,1546287605,1826288996,84000000.0,Litecoin,-1.39,-4.56,-10.58,0.00816438,30.532507262,8,LTC,59814577
8,53162944.0471,17540061,bitcoin-sv,1546287641,1507089542,21000000.0,Bitcoin SV,-0.8,-3.37,-17.0,0.02297571,85.9227084446,9,BSV,17540061
9,66501383.3408,66634505614,tron,1546287618,1260280875,,TRON,-1.77,-5.24,-11.76,5.06e-06,0.0189133372,10,TRX,99233717268
10,19771913.9914,25927070538,cardano,1546287618,1060372665,45000000000.0,Cardano,-1.26,-5.24,-11.07,1.094e-05,0.0408982829,11,ADA,31112483745
11,10691305.4522,2779530283,iota,1546287614,988647525,2779530283.0,IOTA,-2.49,-1.48,-1.27,9.511e-05,0.3556887043,12,MIOTA,2779530283
12,36052183.3761,130799308,binance-coin,1546287615,798412334,,Binance Coin,-0.82,2.44,-0.96,0.00163224,6.1041021163,13,BNB,190799308
13,11873803.1184,16686576,monero,1546287607,762155517,,Monero,-2.21,-5.38,-18.7,0.01221342,45.674769105,14,XMR,16686576
14,99602972.325,8536398,dash,1546287605,672614258,18900000.0,Dash,-1.7,-3.62,-17.08,0.02106941,78.7936869275,15,DASH,8536398
15,11691590.3232,8999999999,nem,1546287611,577349717,,NEM,-0.87,-6.49,-15.84,1.715e-05,0.0641499685,16,XEM,8999999999
16,103294769.209,107178322,ethereum-classic,1546287610,535021517,,Ethereum Classic,-3.8,-5.69,-4.3,0.00133483,4.9918818147,17,ETC,107178322
17,103466505.469,65000000,neo,1546287612,491576722,100000000.0,NEO,-2.74,-6.2,-10.4,0.00202227,7.5627188042,18,NEO,100000000
18,177409.982394,728228,maker,1546287611,332118306,,Maker,-2.26,-4.1,-6.1,0.12195132,456.063775163,19,MKR,1000000
19,108532280.118,5572081,zcash,1546287611,317559854,,Zcash,-1.58,-4.86,-16.27,0.01523944,56.9912461103,20,ZEC,5572081
20,18409719.9545,100000000,waves,1546287609,308728680,,Waves,-6.16,-0.56,-16.43,0.00082554,3.0872867987,21,WAVES,100000000
21,868907.34124,607489041,tezos,1546287616,285708991,,Tezos,-3.28,-5.49,-12.13,0.00012576,0.4703113499,22,XTZ,763306930
22,18796501.0254,117640040831,dogecoin,1546287605,276618627,,Dogecoin,-0.6,-1.03,-8.08,6.3e-07,0.0023513986,23,DOGE,117640040831
23,20154142.1162,250084887,usd-coin,1546287640,254433277,,USD Coin,0.31,0.29,0.64,0.00027205,1.0173876539,24,USDC,251252222
24,5524812.64525,17413924,bitcoin-gold,1546287619,221543795,21000000.0,Bitcoin Gold,-1.63,-8.3,-17.81,0.00340192,12.722221591,25,BTG,17513924
25,5485953.72171,55454734800,vechain,1546287631,221474933,,VeChain,-2.14,-5.19,-17.76,1.07e-06,0.0039937966,26,VET,86712634466
26,46612075.1588,204937826,trueusd,1546287625,208308262,,TrueUSD,0.35,0.21,0.53,0.0002718,1.0164461367,27,TUSD,204937826
27,90954179.4715,89148188,qtum,1546287615,196540732,,Qtum,-1.29,-4.76,-18.61,0.00058952,2.2046520139,28,QTUM,101148188
28,35006843.0669,140245398,omisego,1546287616,191760134,,OmiseGO,-2.28,-3.65,-18.18,0.00036562,1.3673185462,29,OMG,140245398
29,10893469.5517,9331907993,zilliqa,1546287622,180443153,,Zilliqa,-2.38,-7.58,-5.8,5.17e-06,0.0193361478,30,ZIL,12599999804
30,9840345.86545,291115881,ontology,1546287625,172139286,,Ontology,-1.58,-5.02,-23.44,0.00015812,0.5913084693,31,ONT,1000000000
31,7601023.63521,552464919,0x,1546287616,168251820,,0x,-1.28,-5.79,-15.87,8.144e-05,0.3045475183,32,ZRX,1000000000
